Published,User,Comment
2023-11-19T05:28:27Z,@SKY7941,"Aku hanya mengingatkan tentang pemberian TUHANmu  , perisai bangsa dan wilayah, pulaumu. sangat besar hikmah dan manfaanya untukmu, hanya  kamu belum merasakan krn perbedaan bahasa  seperti dua sisi uang, kamu hanya punya satu pilihan , menerima   dan kalian jadi rakyat yg selamat dan terlindungi dgn perisai semesta ( Armour of  the GOD  ) atau menolak  tapi semua gerbang wilayahmu  akan terbuka tanpa perisai lagi. Trust me 😇😇😇😇😇😇😇"
2023-11-19T05:22:01Z,@mardianto5056,Jangan biar kan orang lain msuk ke kawasan indo...karna akan d manfaatkan barat sebagai penjajah....apa lagi negara kita bnyak yg korupsi dan suap...pasti tidak aman untuk warga aceh
2023-11-19T05:20:39Z,@mardianto5056,Betul sekali....tolak saja.....
2023-11-19T05:19:45Z,@marxochandra,Eksekusi aja klo memang itu membahayakan negara
2023-11-19T05:14:02Z,@Gezgtmacjst,asal kalian tau rohingya ini diusir dr Myanmar krn mereka sndiri bukan asli myanmar melainkan imigran gelap dr bangladesh itulah knp rohingya gaada mirip2nya dengan org myanmar dan lebih mirip org bangladesh. Krn bangladesh negaranya kecil bgt hanya sebesar provinsi kalimantan barat dgn penduduk yg sangat besar yakni 170 juta gw yakin ini bagian dr taktik mereka buat memperluas wilayahnya nanti setelah pemerintahan indonesia mereka kuasai rakyat pribumi yg akan mereka usir. Indonesia harus waspada.
2023-11-19T05:01:05Z,@dablolobda-nc8po,"Harusnya pemerintah setempat menerima dulu buat penampungan utk mereka,  bukankah sesama muslim bersaudara. <br>Utk solusi selanjutnya kan d bisa d  fikir"
2023-11-19T04:56:59Z,@herikristiawan5181,Ldalah sama sma seagama dan seiman kok di tolak apa tidak kasihan...
2023-11-19T04:53:05Z,@samudibinahmadyanimudi4199,Dari pada menjadi duri dalam daging lebih baik gak usah di terima sebagai contoh yg ada di Malaysia mereka sangat susah di atur
2023-11-19T04:20:36Z,@suhermansyahsuhermansyah3215,"Jika kaum Muhajirin ditolak oleh kaum anshor, mungkin kita tidak mengenal Islam."
2023-11-19T04:19:07Z,@LongMan23,Kok bisa sampai masuk<br>Segitu gampangnya kah pengamanan di negeri ini😅??
2023-11-19T03:51:16Z,@mustafaursyal5648,Jangan biarkan mereka bertapak. Parasit. Kenapa mereka larikan diri dari cox bazar yg telah sedia utk mereka
2023-11-19T03:36:54Z,@siswantosiswanto8084,Nanti jdi penjajah
2023-11-19T03:29:44Z,@asepsupriatna3419,"<a href=""http://www.youtube.com/results?search_query=%23liputan6"">#Liputan6</a> inget israel dikasih hati minta negara <a href=""http://www.youtube.com/results?search_query=%23genosida"">#genosida</a>"
2023-11-19T03:13:55Z,@moramora8942,sesama seiman aja ko gitu amat ya...ingat kalau menolak warga rohingya dipastikan ga akan bisa masuk surga..
2023-11-19T03:08:13Z,@user-qz2if2hf1l,Bahaya memang klau di biarkan<br>Bayangkan 200 melahirkan 1 Anak= 400..2X melahir udah 800 .habis 1 pulau
2023-11-19T02:57:35Z,@user-qd7ow1hb1l,"Wahai saudaraku Semuslim Sebaik_sabaiknya penolong hanya lah Allah SWT ... maafkanlah mereka yg menolak kalian , biar Allah yg membalasnya biar Allah Ajawalah yg mengadili ...kelak mereka pasti  akan di pertanyakan &quot; Kamu tinggal di Ciptaan Ku kau tidak memerima saudara menolong saudara mu sendiri yg kesusahan &quot;"
2023-11-19T02:47:28Z,@jimimanopo7900,La katanya Indonesia siap menampung imigran palestina kok membedakan dgn rohingya kn sm sdra kaum mukmin.
2023-11-19T02:43:05Z,@AlifAlif-zu2zu,rohiya banglades perogol usir balek
2023-11-19T02:36:44Z,@zulfikarali-lw2yx,Tolak rohongia
2023-11-19T01:46:50Z,@arenaxq,Kaum yg menyusahkan patutla  Myanmar bunuh mereka...bangsa pelarian bacul tinggalin negara dari berjuang mempertahankannya..
2023-11-19T01:29:33Z,@daddyadam5962,"Mereka duduk dn berkembang biak, lama2 nguasai lokasi."
2023-11-19T01:22:19Z,@ipks_,Kalau Pengungsi Palestina kita terima lah...soalnya ceweknya cantik2....kalo rohingya...entar dulu...gak ada untung nya...ceweknya jelek2 sih 😂<br>kalau orang palestina ribet...gak apa2 lah...cantik2 yg kesini tapinya 😂
2023-11-19T01:09:49Z,@hisarmarulituamanurung3256,Hanya negara non muslim di Eropah yg mau terima pengungsi Islam ! Tolong menolong sesamanya ditujukkan lah !!
2023-11-19T01:06:42Z,@ronosugino9772,"Demi kemanusiaan Pemerintah dan MUI hrs turun tangan  ,palestina sj di bantu mosok rohyngya di biarkan ,pilih kasih dong ,dmn hati nuraninya"
2023-11-19T00:53:42Z,@user-ve1wx3ts3k,Usir boss
2023-11-19T00:35:25Z,@darkhole5040,"Itu orang Islam yang paling bela kemanusiaan kalian tampung lah mereka, itu kan saudara seimanmu."
